sku_id,category,true_base_demand,true_price_elasticity,true_promo_uplift_pct,true_display_uplift_pct,true_email_app_uplift_pct,true_seasonality_strength,true_weekend_effect_pct,true_stockout_lost_sales_factor,true_cannibalisation_factor,true_margin_impact_of_promotion,true_demand_trend_pct_per_year,data_generation_notes,true_realised_att_pct
SKU0125,Snacks & Confectionery,21.488,-0.5123,28.66,9.21,7.42,0.14,6.6,0.818,0.072,0.66,-8.65,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",84.438
SKU0126,Health & Beauty,7.798,-0.5882,34.01,7.77,9.53,0.07,3.56,0.779,0.025,0.567,12.28,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",95.599
SKU0127,Ambient Grocery,8.535,-1.0002,20.27,10.16,6.65,0.07,9.87,0.714,0.054,0.553,6.79,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",73.794
SKU0128,Ambient Grocery,13.394,-1.0674,15.08,14.02,5.47,0.07,3.22,0.747,0.06,0.371,-28.16,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",73.539
SKU0129,Fresh Produce,20.499,-1.7655,28.53,15.27,5.29,0.24,12.31,0.94,0.051,0.226,-16.43,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",146.42
SKU0130,Fresh Produce,22.613,-1.6711,40.23,17.63,4.77,0.24,14.34,0.803,0.033,0.566,-5.68,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",176.122
SKU0131,Beverages,6.633,-0.5502,33.16,15.93,5.69,0.24,13.01,0.81,0.023,0.408,0.38,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",75.235
SKU0132,Ambient Grocery,17.715,-1.2201,32.29,7.3,8.5,0.07,17.45,0.972,0.066,0.407,-7.42,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",102.1
SKU0133,Frozen,3.621,-1.0805,37.45,16.33,9.55,0.14,9.83,0.736,0.066,0.286,17.08,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",126.613
SKU0134,Frozen,13.266,-0.884,32.53,13.86,9.83,0.14,14.74,0.957,0.081,0.587,0.46,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",109.024
SKU0135,Seasonal,5.535,-1.359,34.5,7.45,3.47,0.24,5.35,0.947,0.08,0.722,21.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",130.785
SKU0136,Ambient Grocery,4.961,-1.2311,22.44,7.6,10.03,0.07,15.58,0.961,0.032,0.264,5.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0137,Beverages,13.673,-1.2102,27.49,10.42,6.65,0.24,4.87,0.706,0.1,0.682,-6.11,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",113.918
SKU0138,Dairy & Eggs,12.447,-0.6316,16.96,8.64,6.41,0.14,9.8,0.702,0.082,0.748,-0.1,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0139,Health & Beauty,8.434,-1.0608,7.95,10.71,3.77,0.07,6.99,0.851,0.055,0.5,-23.7,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0140,Snacks & Confectionery,13.284,-1.8573,28.29,6.33,3.31,0.14,5.01,0.871,0.085,0.688,3.96,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",135.185
SKU0141,Dairy & Eggs,11.34,-0.5768,18.03,7.85,6.21,0.14,7.99,0.961,0.059,0.324,24.48,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",57.044
SKU0142,Ambient Grocery,11.762,-0.5082,15.63,17.02,3.4,0.07,3.19,0.755,0.085,0.488,-3.14,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0143,Fresh Produce,33.052,-1.0976,30.34,6.82,9.85,0.24,5.88,0.71,0.066,0.246,5.21,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",99.947
SKU0144,Beverages,9.307,-0.47,37.21,11.9,4.93,0.24,8.23,0.919,0.025,0.264,-22.51,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0145,Dairy & Eggs,22.42,-0.573,19.86,17.67,6.0,0.14,3.98,0.861,0.071,0.277,-24.35,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0146,Snacks & Confectionery,8.939,-1.6814,27.87,16.14,9.68,0.14,9.44,0.99,0.098,0.271,-4.16,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",122.14
SKU0147,Ambient Grocery,13.475,-1.0,19.8,7.02,6.06,0.07,6.92,0.986,0.053,0.619,9.76,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",73.42
SKU0148,Fresh Produce,32.334,-1.0072,26.84,16.36,3.0,0.24,3.84,0.809,0.075,0.388,0.81,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",100.682
SKU0149,Bakery,13.139,-0.8861,17.26,8.94,3.04,0.14,11.02,0.735,0.043,0.553,12.75,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",66.103
SKU0150,Beverages,19.678,-1.7837,28.88,9.95,4.98,0.24,17.35,0.757,0.035,0.445,-30.58,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",145.07
